timestamp,pca_abbrev,load_mw,source
2017-04-20 21:00:00,CL,5963,CL
2017-04-21 21:00:00,CL,5910,CL
2017-04-22 21:00:00,CL,5440,CL
2017-04-23 21:00:00,CL,5378,CL
2017-04-24 21:00:00,CL,5751,CL
2017-04-25 21:00:00,CL,5835,CL
2017-04-26 21:00:00,CL,5966,CL
2017-04-27 21:00:00,CL,6044,CL
2017-04-28 21:00:00,CL,6094,CL
2017-04-29 21:00:00,CL,5623,CL
2017-04-30 21:00:00,CL,5428,CL
2017-05-01 21:00:00,CL,5387,CL
2017-05-02 21:00:00,CL,5992,CL
2017-05-03 21:00:00,CL,5959,CL
2017-05-04 21:00:00,CL,5977,CL
2017-05-05 21:00:00,CL,6097,CL
2017-05-06 21:00:00,CL,5700,CL
2017-05-07 21:00:00,CL,5693,CL
2017-05-08 21:00:00,CL,5991,CL
2017-05-09 21:00:00,CL,6058,CL
2017-05-10 21:00:00,CL,5981,CL
2017-05-11 21:00:00,CL,5784,CL
2017-05-12 21:00:00,CL,5846,CL
2017-05-13 21:00:00,CL,4986,CL
2017-05-14 21:00:00,CL,5247,CL
2017-05-15 21:00:00,CL,5724,CL
2017-05-16 21:00:00,CL,5711,CL
2017-05-17 21:00:00,CL,5834,CL
2017-05-18 21:00:00,CL,6024,CL
2017-05-19 21:00:00,CL,6064,CL
2017-05-20 21:00:00,CL,5611,CL
2017-05-21 21:00:00,CL,5462,CL
2017-05-22 21:00:00,CL,5984,CL
2017-05-23 21:00:00,CL,6005,CL
2017-05-24 21:00:00,CL,6067,CL
2017-05-25 21:00:00,CL,6066,CL
2017-05-26 21:00:00,CL,6111,CL
2017-05-27 21:00:00,CL,5639,CL
2017-05-28 21:00:00,CL,5538,CL
2017-05-29 21:00:00,CL,5881,CL
2017-05-30 21:00:00,CL,5977,CL
2017-05-31 21:00:00,CL,5934,CL
2017-06-01 21:00:00,CL,6033,CL
2017-06-02 21:00:00,CL,6247,CL
2017-06-03 21:00:00,CL,5790,CL
2017-06-04 21:00:00,CL,5716,CL
2017-06-05 21:00:00,CL,6050,CL
2017-06-06 21:00:00,CL,6037,CL
2017-06-07 21:00:00,CL,6116,CL
2017-06-08 21:00:00,CL,6225,CL
2017-06-09 21:00:00,CL,6239,CL
2017-06-10 21:00:00,CL,5857,CL
2017-06-11 21:00:00,CL,5762,CL
2017-06-12 21:00:00,CL,5971,CL
2017-06-13 21:00:00,CL,6139,CL
2017-06-14 21:00:00,CL,6220,CL
2017-06-15 21:00:00,CL,6220,CL
2017-06-16 21:00:00,CL,5665,CL
2017-06-17 21:00:00,CL,5868,CL
2017-06-18 21:00:00,CL,5639,CL
2017-06-19 21:00:00,CL,6193,CL
2017-06-20 21:00:00,CL,6134,CL
2017-06-21 21:00:00,CL,6111,CL
2017-06-22 21:00:00,CL,6113,CL
2017-06-23 21:00:00,CL,6187,CL
2017-06-24 21:00:00,CL,5815,CL
2017-06-25 21:00:00,CL,5720,CL
2017-06-26 21:00:00,CL,5741,CL
2017-06-27 21:00:00,CL,6148,CL
2017-06-28 21:00:00,CL,6085,CL
2017-06-29 21:00:00,CL,6173,CL
2017-06-30 21:00:00,CL,6219,CL
2017-07-01 21:00:00,CL,5707,CL
2017-07-02 21:00:00,CL,5461,CL
2017-07-03 21:00:00,CL,6002,CL
2017-07-04 21:00:00,CL,6145,CL
2017-07-05 21:00:00,CL,6160,CL
